aaaa	工 恭恭敬敬
uduf	关闭
udui	療
uduk	善 状况 头部
udun	判决
udut	减产 头疼 敾
uduy	券门 关门
udvb	券
udve	减退
udwc	关公 羚
udwd	凑
udww	善人
udwy	头领
udxl	勬
udxu	减弱
udxw	送给
udy	状
udye	羪
udyf	誊
udyj	养
udyt	郑州 羌族
udyv	善良
uead	前期
uedj	前辈
uedm	前面
ueed	痭
uefc	前去
uefg	醤
uefj	前进
ueft	前者
uegd	疽
uego	前来
uegq	前列
uegw	龔
ueim	前沿
uejj	前 前日
uejn	翦
uejo	煎
uejv	剪
uejy	前景
uek	痈
ueki	前哨
uelg	商用车
uelp	前边
uemc	毅
uena	前殿
uenf	前导
uepc	閿 阌
uepi	遂
ueqd	毅然
ueqt	前锋 前夕
uerg	前后
uerh	前年
uerj	前提
uetf	前行
uetm	前身
uety	前往
ueud	前头
ueuk	前部
ueum	前端
ueuy	前门
uevh	凈
uevn	剪刀
uewt	前途
ueww	前人
uexg	前线
ueyy	前方
ufaw	兰花
ufcl	阖
ufcm	壮观
ufcy	攱
ufdd	壮大 凌厉
ufde	装有
ufdf	凌辱
ufee	半月
uff	兰
uffa	半截
uffd	闺
uffi	痔
uffn	斗志
ufg	壮
ufgd	半天
ufgk	装束
ufgm	壮丽
ufhk	半点
ufhm	癫
ufhw	阗 瘨
ufjd	凌晨
ufjj	半日
ufjt	半晌
ufk	半 斗 闬
ufkh	半路
ufkm	总动员
uflf	装置
uflh	装甲
uflp	半边
ufnh	闱
ufni	痣
ufov	半数
ufpw	半空 凌空
ufqk	半句
ufqn	装饰
ufqv	斗争
ufqy	半岛
ufra	斗拱
ufrh	半年
ufrt	半斤
ufsg	装配
uftc	半径
ufte	闭
uftj	阇 瘏
uftl	装备
ufvv	闺女
ufwf	闭会
ufwh	半个 装修
ufwt	凌 装作
ufwv	半分
ufye	装
ufyt	壮族 兰州
ufyw	半夜
ugaj	羡慕
ugak	開
ugce	决不能
ugd	闩 闰 閏
ugdu	美
ugee	美貌
ugeg	靖
ugfq	美元
uggd	前一天
uggj	病理
uggm	美丽
uggq	病死
uggx	病毒
ughd	症
ughn	癋
ugik	痞
ugip	美学
ugiw	美誉
ugiy	美洲
ugji	凍
ugkf	辣味 美味
ugkh	竵
ugki	辣 竦
ugkm	癞
ugkt	瘷
ugku	痘
ugld	病因
uglf	盖
uglg	美国
ugli	阑
ugmw	病
ugnf	半殖民地
ugng	病情
ugnu	恙
ugod	羹
ugog	痖
ugou	羔
ugpl	美军
ugpw	美容
ugpy	冯玉祥
ugqj	冽
ugqq	差不多 闻一多
ugqy	前不久 羑
ugsh	辣椒
ugsy	美术
ugtt	羲
ugud	症状
uguf	瘗
uguw	羡
uguy	凄凉
ugvb	美好
ugvf	姜
ugvv	美女 凄
ugwf	决不会
ugwg	病例
ugww	病人
ugwy	美食
ugxw	痍
ugyg	癍
ugyi	羕
ugyn	病房
ugyo	病变
ugyy	美方
uhag	瘧
uhap	疲劳
uhci	疲
uhck	站台
uhde	丫鬟
uhdi	闃 阒
uhgg	丫环
uhhc	闅
uhhy	癯
uhk	丫
uhkg	站
uhng	門
uhta	站长
uhtl	疲惫
uhtt	夔
uhud	丫头
uhuu	站立
uhwu	疲倦
uhwy	站住
uhxv	疵
uibp	商学院
uied	痟
uifv	冰雪
uigq	颜洪烈
uigy	北洋政府
uiit	痧 閯
uikq	阎鸿唤
uikt	冰川
uimm	商洛山
uipu	北洋军阀
uiqq	奖学金
uisc	立法权
uitd	阔 闊
uits	冰箱
uiuw	冰冷
uiuy	冰凉
uiwe	瘠
uiy	冰
ujab	音节
ujbb	童子
ujbg	间隔
ujbh	鄣
ujbi	间隙
ujd	间 間
ujdh	意在
ujdr	意愿
ujet	彰
ujf	音
ujfb	郸
ujff	童
ujfj	单
ujfl	勭
ujfn	意志
ujfq	单元
ujfu	意境
ujgg	单一
uji	闽 痋
ujj	章
ujjd	阊
ujjg	竟是
ujjj	交易日
ujkf	意味
ujld	瘟
ujln	意思
ujlt	竭力 意图
ujmq	意见
ujnb	竟敢
ujnd	阘
ujnu	意
ujon	间断
ujpd	病虫害
ujqb	竟
ujqd	竟然
ujqh	意外
ujqi	音乐
ujqn	竭
ujqt	单独
ujqu	韵
ujqw	歆
ujrg	韹
ujrh	童年
ujrn	交易所
ujrs	单打
ujru	间接
ujsn	意杨
ujsr	单板
ujtf	单行
ujtk	章程
ujtm	赣 单身 意向
ujtn	戆
ujtt	竷
ujvk	韶
ujvn	单刀
ujwh	单个
ujws	单体
ujwu	单位
ujww	单人 意欲
ujxg	单纯
ujxj	意旨
ujya	间谍
ujyk	意识
ujym	单调
ujyn	单词
ujyq	意义
ujyt	童话
ukae	冲散
ukai	部落
ukan	问世
ukaw	总共
ukbh	部
ukbm	冲出
ukbw	部队 总队
ukd	问
ukdh	冲破
ukeg	况且
ukfa	总裁
ukfc	冲动
ukfh	问起
ukfm	冲击
ukga	冲开
ukgh	部下
ukgj	总理
ukgn	瓿
ukha	冲虚
ukhh	冲
ukhi	总督
ukhm	闠
ukit	冲洗
ukjg	问题 总是 总量
ukjh	剖
ukjt	总监
ukkd	閭 闾
ukkk	闆
ukkm	癌
uklf	部署
uknn	总局
uknt	部属
uknu	总
ukod	部类
ukov	总数
ukpf	竞赛
ukpp	总之
ukpt	总额
ukpw	冲突
ukqb	兑 竞 兗
ukql	交响乐团
ukqn	况
ukqq	競
ukqs	冲杀
ukqt	冲锋
ukqv	竞争
ukrf	竞技
ukrg	总兵
ukrq	兑换
uksc	阔叶树
uksh	竞相
ukss	阔叶林
ukta	部长 总长
uktf	竞选
ukth	总算
uktj	总得
uktk	总和
uktp	总管
uktq	总称
uktv	部委
ukud	意味着 冲着
ukug	癌症
ukuk	总部 问问
ukuq	部将
ukut	问道
ukuy	部门
ukwf	总会 总值
ukwh	问候
ukwr	部件
ukws	总体
ukwu	部位
ukwv	部分 总分
ukxf	总结
ukxi	商品经济
ukxy	总统
ukyf	总计
ukyt	部族 问话
ulfh	新加坡
ulgj	痹
ulgk	兽
ulgy	曾思玉 美国政府
ulii	瘝
uljb	鄫
uljf	曾
uljg	装甲师
uljn	甑
ulk	闸
ulkd	痂
ulkw	瘸
ullg	装甲车
ulli	癳
ullw	美国国会
ulpl	新四军
ulpp	美国空军
ulrg	装甲兵
ulsi	閫 阃
ulth	交界处
uluh	辦
ulxc	曾经
ulxi	瘰
ulyy	帝国主义
umal	疫苗
umbb	疯子
umci	疫
umdj	端
umdp	適
umfd	商城
umfj	商朝
umfk	凋
umfn	商场
umgh	端正
umi	閴
umia	弊
umid	獘
umig	鳖
umih	瞥 蹩
umin	憋
umit	敝
umiv	嫳
umjg	商量
umk	疝
umkk	商品
ummf	商周
ummv	瘿
umnk	瘑
umnv	闿
umog	商业
umpe	商家
umpg	商定
umqi	疯
umqt	疯狂
umqy	商贸 飒
umrq	端的
umsf	商标
umtj	颯 瘋
umtl	商务
umum	弊端
umuy	端门
umwa	商代
umwk	商
umww	商人
umwy	凗
umyh	商店
umyt	商旅
umyy	商议
unac	癜
unbt	阚
unfi	瘺
ung	翊
ungi	决不
unhc	瘕
unhh	闈
unhk	决战
uni	闷 悶
unku	癖
unny	决心
unon	决断
unpf	决赛
unpg	决定
unre	疡
unte	閟
untg	决策
unuj	决意
unws	半导体
unwy	决 总司令
unyf	决计
unyn	总书记
unyy	决议
uoce	普通
uoey	普及
uogf	並
uogj	普
uoif	普法
uooi	痰
uopq	意料之外
uoqt	商业银行
uosj	普查
uous	产业资本
uovd	瘘
uowx	产业化
uoyn	普遍
upcm	旁观
upgg	帝王
upkr	旁听
uplg	帝国
uplk	瘒
uplp	旁边
upmh	帝
upmk	啻
upnt	决定性
uppy	章宗祥
uprm	帝制
upti	差额选举
upww	旁人
upyb	旁
uqaj	盗墓 閽 阍
uqaq	郊区
uqbh	郊
uqbm	交出
uqce	交通 效能
uqcy	交叉
uqdd	奖励
uqdu	奖
uqdy	姿态 癚
uqeg	资助
uqet	效用
uqfg	将士 普鲁士
uqfw	交替
uqfy	将
uqgd	癣
uqgo	将来
uqgx	交互
uqhk	交战
uqia	交汇
uqib	音乐学院
uqid	资源
uqih	交涉
uqip	音乐堂 资深
uqiu	浆
uqiy	交流
uqjj	次日
uqjn	阄
uqjq	交易
uqjs	效果
uqkk	瓷器
uqkq	闻名中外
uqln	効
uqlt	竞争力 效力
uqlw	交界
uqmd	痪
uqmf	资财
uqnv	疱
uqou	资料
uqov	次数
uqpl	将军
uqpp	次之
uqqa	交错
uqqq	资金 奖金
uqqt	交锋
uqqy	瘹
uqrh	次年
uqrp	将近
uqrq	交换
uqru	交接
uqrv	姿势
uqsg	资本 酱 交配
uqst	资格
uqsu	桨
uqsv	将要
uqsw	冲锋枪
uqtf	交待
uqtg	奖惩
uqth	盗版
uqty	交往 效
uqu	交
uquj	奖章
uqut	资产
uquw	效益
uqvd	阎
uqvh	净 竫
uqwa	交代
uqwf	交付 音乐会 垐
uqwk	咨
uqwl	盗
uqwm	资 資
uqwn	瓷 恣
uqwo	粢
uqws	栥
uqwv	姿
uqwx	交货 净化
uqwy	次 将领
uqxj	资费
uqxk	交织
uqxm	交纳
uqxw	交给
uqyi	效应 疚
uqyl	瘤
uqyn	资讯
uqyo	交谈
uqyq	咨询
uqyx	效率
urcu	瓣
urfd	前所未有
urrp	总指挥
urti	间接选举
urxq	兠
usaa	新式
usaq	尊敬
usav	亲切
usax	新药
usdc	亲友
usdh	亲戚
usee	新月
usep	亲爱
usfd	新城 闉
usfj	新堤
usft	新教
usfu	新增
usga	新型
usgd	奠 猷
usgf	尊 酋
usgg	亲王 意想不到
usgh	新政
usgo	尊严
usgp	遵 遒
ushq	親
ushv	亲眼
usi	闲 閑
usia	新港
usis	新河
usiw	新兴
usiy	新浪
usjn	闲暇
usjt	亲临
usjv	遵照
usk	疔
uskd	疴
uskg	尊号
uskh	尊贵 新路
usmq	新风
usnt	亲属
uspe	资本家
uspf	遵守
uspg	奠定
uspn	亲密
usqg	新鲜 鹇
usrg	亲兵
usrh	新 新年
usrp	亲近 新近
usrt	亲手
usrv	亲热
ussf	新村
ussi	痳
usta	酋长
ustg	尊重 新生 亲征 亲生
usth	亲自 新版
ustm	亲身
ustr	遵循
usu	亲
usub	新闻
usuf	新西兰
usvd	闄
usvf	新建
usvq	新婚
usvy	新娘
uswc	凇
uswt	新任
usww	亲人 新人
uswx	新华
uswy	亲信
usxf	新疆
usxt	新颖
usym	新高
usyt	闲话
usyv	新郎
usyy	资本主义
utaq	产区
utbd	痵
utbm	产出
utcb	疾驰
utce	产能
utdi	疾
utdk	痴
utdm	首页
ute	产
utec	瘢
utem	颜
uter	彦
utey	首脑
utfb	产地
utfg	道士
utfn	道场
utfp	閮
utfq	冼
utft	首都 道教
utgd	冲积平原
utgf	产于 瘇
utgh	阁下
utgj	道理
uthf	首
uthg	馘
uthn	瘜
uthp	道
uthw	道具
uthx	瘪
utiq	道光
utiu	净利润
utjg	产量
utjk	痢
utkd	阁 閣
utkh	道路
utkk	产品
utlg	首辅
utlw	首轮
utmt	癥
utnm	首届
utnt	首发
utnv	疙
utog	产业
utqc	颜色
utqn	首饰
utqy	产卵
utrx	首批
utsc	产权
utsh	首相
utsv	首要
utta	首长 道长
uttf	首先 道德 首选
uttg	产生 産
uttj	剷
uttr	产物
utua	疙瘩
utuc	疼痛
utuf	新科状元
utug	疾病
utui	疼
utuq	首次
utuv	道歉
utvd	痿
utvo	亷
utvv	产妇
utwb	首创
utwf	产值
utwh	瘲
utwu	首位
utww	道人 关系人
utwy	首领
utxe	首级
utya	首席
utyw	首府 首座
uuad	立项
uual	立功
uubw	阙
uubx	资产阶级
uucn	立马
uudb	闂
uudk	痒
uued	癇
uufn	立场
uugh	立下
uuif	立法
uuiu	北冰洋
uuiy	北美洲
uujd	闇 瘖 癎
uuje	阐明
uujf	立时 阐
uujg	总产量
uujk	瘴
uukh	立足
uukq	閲 阅
uulw	新闻界
uumq	新闻网
uung	新闻司
uupf	半决赛
uurq	冷冷的
uusf	竴
uusi	痫
uusy	阐述
uuuu	立
uuvc	立即
uuwf	总产值
uuws	立体
uuyf	阅读
uuyn	立刻
uuyy	立方
uvbk	兼职
uvd	閰
uvdb	兼顾
uvde	兼有
uvei	痕
uvf	妾
uvfh	冿
uvg	妆
uvhc	瘦
uvog	鹣
uvou	兼
uvow	歉
uvqv	阋
uvtl	兼备
uvua	兼并
uvuh	辧
uvwi	瘐
uvwt	兼任
uvyo	痕迹
uwae	阀
uwbv	疮
uwdq	准确
uwee	疹
uwfc	冷却 闪动
uwfp	闪过
uwgd	痊 阕
uwge	冷静
uwgj	瘉
uwgk	閤
uwgn	闟
uwgu	竳
uwhk	冷战
uwi	闪
uwia	冷漠
uwif	冷汗
uwii	冷水
uwio	冷淡
uwjk	疥
uwjn	闪电
uwkk	总人口
uwkq	閱
uwlf	益
uwlj	蠲
uwlo	鷁
uwmj	准则
uwmq	新华网
uwng	总公司
uwnk	闪避
uwoq	闪烁
uwpl	北伐军
uwpy	新华社
uwtl	准备
uwtt	冷笑
uwuw	闪闪
uwuy	新华门
uwvo	鴗
uwwc	冯公公
uwxc	癈
uwyc	冷
uwyf	凖
uwyg	准
uwyk	瘡
uxaq	北欧
uxbb	弟子 辫子
uxbc	凝聚
uxbh	邶
uxdd	北大
uxde	瘬
uxdj	北非 慈悲
uxdm	北面 背面
uxef	背
uxfq	新纪元
uxfu	递增
uxgj	总经理
uxgu	北平
uxhg	鹈
uxhh	背上 北上
uxhj	剃
uxhp	递
uxht	弟
uxit	北海
uxiu	北洋
uxiy	北流
uxjy	背景 背影
uxkh	北路
uxkq	弟兄
uxld	凝固
uxlp	北边
uxlw	冀
uxmd	北岸
uxmf	北周
uxmm	北山
uxmq	北风
uxn	北
uxny	背心
uxps	北宋
uxpy	慈禧 凝视 凝神
uxqg	背鳍
uxrg	背后
uxse	北极
uxss	北麓
uxth	凝
uxtm	北向
uxtv	北魏
uxud	慈善 背叛
uxug	北美
uxuh	辫
uxuk	北部 背部
uxum	北端
uxux	弟弟
uxuy	北门
uxwa	北伐
uxwd	北段
uxwm	北侧
uxxb	孳
uxxf	北纬 凝结
uxxg	鹚
uxxn	慈 甆
uxxq	北约
uxxu	兹
uxxw	递给
uxyc	背诵
uxyi	北京
uxyj	北齐
uxyw	总统府
uxyy	北方
uyad	辛苦
uyak	辛勤
uyaw	辛亥革命
uydd	六大
uydi	北京大学
uyee	六月
uyfa	北京地区
uyfd	北京城
uyfg	六十
uygd	意识形态
uygh	门下 辛
uygk	闹事
uygy	六
uyhh	门上
uyhn	门
uyi	闵
uyif	辩证法
uyim	门洞
uyiy	凉
uykk	门口
uykl	辨别
uyli	凛
uymh	闹
uymv	闶
uymw	门内
uynm	六届
uynw	阂 痎
uyod	门类
uyoy	立方米
uypv	决议案
uypw	门窗
uyqe	六角
uyqh	门外
uyrh	六年
uyru	凉拌
uyry	辩护
uysf	门票
uysj	门槛
uyso	门楼
uytd	瘯
uytu	辨
uyue	门前
uyuh	辩
uyuk	六部
uyuq	门将
uyve	閬 阆
uywf	瘁
uywg	六合
uywh	六个
uywu	瘀 阏
uyww	门人
uyxy	癕
uyyg	辩证
uyym	北京市
uyyn	门户 门扉
uyyw	辩论 门诊 辨认
vaak	嫟
vadk	婼
vafg	姏
vafs	媒
vago	毁灭
vahh	姬 姫
vaj	舁
vajd	嫫
vakb	鄩
vakf	尋
vakg	嫤
vakw	嫨
vamc	毁
vamd	媖
vang	姖
vaqy	妪
vatq	娆
vawj	媒介
vaws	媒体
vawx	婲
vawy	娂
vbbb	女孩子
vbdc	好友
vbds	好奇
vbfx	九阴真经
vbg	好
vbgk	好事
vbgq	好歹
vbh	邚
vbhj	媸
vbhx	好些
vbic	好汉
vbkj	好喝
vbkr	好听
vbkt	好吃
vblf	好转
vblw	好办
vbmt	好几
vbn	她
vbqj	好象
vbqq	好多
vbqt	女孩儿
vbqy	好久
vbrh	好看
vbrt	好手
vbsk	婀
vbtg	好生
vbth	好处
vbvb	好好
vbwn	好似
vbwq	好像
vbwu	她们
vbww	好人
vbxx	好比
vbyg	好评
vbyx	录取率
vcag	暨
vcao	鱀
vcaq	既
vcbf	孥
vcbh	即 妤
vccf	驽
vcde	既有
vceg	姢
vcft	奴才
vcg	妈
vcgf	始于
vcjf	即时
vcjj	即日
vckg	始
vclb	努
vclt	努力
vcmh	帑
vcmw	胬
vcnu	怒
vcoo	怒火
vcpg	既定
vcqd	既然
vcrj	拏
vcrn	怒气
vcsk	即可
vctm	奴役
vcu	厹
vcuq	即将
vcvc	妈妈
vcvf	始建
vcvi	奴隶
vcvr	奴婢
vcwg	即使 即便
vcwh	奴仆
vcwo	鵖
vcwu	即位
vcxb	弩
vcxt	始终
vcy	奴
vcyn	即刻
vdae	媠
vdcy	妭
vddy	姨太太
vdeg	姷
vdfe	娠
vdff	媷 娾
vdfn	姱
vdg	姑
vdnt	娍
vdny	好奇心
vdri	嫄
vdsg	尹克西
vdvc	姑妈
vdvd	姑姑
vdvy	姑娘
vdwg	邵大侠
vdwj	媋
vdwt	嫀
vebm	退出
vefc	退却 媛
veff	垦
vefi	恳求
vefw	姐夫
vegg	姐
vei	艮
velk	退回
ven	奶
venu	恳
veow	奶粉
vepc	嫒
vepi	退
verm	郡县制 媱
vesy	婇
vetm	退役
veto	嬀
veve	奶奶 姐姐
vevf	姐妹
vevg	嫍
vews	退休
vewx	退化
vexp	退缩
vfaa	建工
vfac	彟
vfbb	妹子
vfbh	那
vfcc	那双
vfcy	妓 妘
vfdd	那大
vfde	建有
vfdj	嬬
vfdn	建成
vfem	寻觅
vffg	娃
vffh	建起
vffi	寻求
vffn	那场
vfft	建都
vfgd	那天
vfgf	建于
vfgs	那末
vfgu	建平 尹志平
vfh	奸
vfhk	聿
vfhp	建
vfhw	嫃
vfhx	那些
vfip	寻常
vfiy	妹
vfjf	那里 那时 書 媾
vfjj	那日
vfke	媴
vfkg	姞
vfkk	嬉
vflg	建国 畫
vfln	寻思
vflp	那边
vfma	奸贼
vfmc	毀
vfny	娡
vfpv	建安
vfqn	妧
vfqt	那儿
vfra	寻找
vfrh	那年
vfrm	建制
vfsf	建材
vfsh	孀
vfsu	那样
vfta	建筑
vftc	那么
vftf	建造 姸
vftk	那种
vfts	那条
vftx	姥
vfu	寻
vfuk	嫱
vfuq	那次 建交
vfuu	建立
vfvf	妹妹 娃娃
vfvv	妓女
vfwd	那段
vfwh	那个
vfwu	那位
vfwx	建华
vfym	建设
vfyy	建议
vgah	妍
vgbb	婊子
vgcf	姪
vgeg	婧
vgey	婊
vghg	姃
vgho	嫣
vgjf	嫥
vgjg	姮
vgkt	嫩
vglb	婳
vgmh	姉
vgmy	嫧
vgno	舃
vgog	娅
vgpj	好不容易
vgpu	九五之尊
vgqo	煭
vgvb	好不好
vgvh	婕
vgwq	嬭
vgwy	忍不住
vgxw	姨
vhah	嫭
vham	虓
vhcu	叟
vhk	肀
vhqn	娊
vibc	录取
vidf	剥夺
viet	录用
vii	隶
viie	剥削
viig	肃清
vijh	剥
vijk	肃
vilf	盝
vint	隶属 灵活性
viph	嫦
vipi	逮 逯
viqn	姚
virg	逮捕
vite	巡洋舰
vitr	肃穆
vitt	妙
viu	录
viuj	录音
viuu	肃立
viwq	录像
vjd	旭
vjf	旮
vjfg	娌
vjgg	妲
vjhh	妽
vjjg	娼
vjlc	嫚
vjlg	媪
vjsj	剿
vjsu	巢
vjwg	姚师傅
vjyu	如果说
vkbh	邵
vkcb	邕
vkeg	娟
vkf	召 叴
vkg	如
vkga	召开
vkgd	娱
vkgh	如下
vkhx	如此
vkjg	如是
vkjs	如果
vklk	召回
vkln	劭
vkmg	如同
vkmh	帤
vkmq	召见
vkmw	娲
vknn	巶
vknu	恕
vkpd	迢
vkpu	如实
vkqi	娱乐
vkss	如林
vkuj	如意
vkws	如何
vkwy	如今 召集
vkxi	絮
vldy	姻
vlf	甾
vlge	嬛
vllb	舅
vlqp	邋
vlvl	舅舅
vlxi	嫘
vmdy	姎
vmfg	姌
vmg	妯
vmgh	姵
vmgk	姛
vmgn	娉
vmgt	媺
vmhk	帇
vmle	九曲回肠
vmmg	姗
vmwh	好几个
vmwk	孈
vnan	姄
vnbb	刀子
vnfg	妞
vnhc	婽
vnhe	婿
vnhg	媚
vnhh	媁
vnif	刀法
vnij	孎
vnn	妃
vnt	刀
vntn	娓
vnud	鼷
vnue	鼱
vnuk	鼩 鼯
vnum	鼬
vnun	鼠
vnuv	鼹
vnwe	嫪
vnwg	刀剑
vnxn	妮
vnyw	姒
vodg	灵感
vofc	灵魂
voit	灵活
vojk	粛
voos	嬫
voqh	嫾
vosa	灵柩
votx	灵敏
vou	灵
vowa	彛
voxa	彞
vpbb	婶子
vpey	嫁
vpfi	婃
vpgm	嬪
vpjh	婶
vpjq	好容易
vplq	巡逻
vpmh	帚
vppy	巡视
vpqb	婉
vprf	巡抚
vprw	嫔
vpta	姹
vpv	巡 廵
vpvn	嫔妃
vpwk	嫆
vqaj	婚
vqb	兒
vqbt	媰
vqdb	姽
vqgk	婚事
vqiy	妳
vqkg	姳 姁
vqkq	娩
vqkw	努尔哈
vqky	婏
vqmx	嫓
vqou	舄
vqoy	婅
vqpy	婚礼
vqu	夛
vqvh	既然如此
vqvl	婚姻
vqyc	婚育
vqyg	鸠
vqyl	媹
vrgk	姤
vrhf	姩
vriy	姝
vrlo	嫵
vrmh	婂
vrqc	媿
vrtf	婢
vsfi	嫖
vsfn	杂志
vskg	妸
vsnd	杂剧
vsrf	杂质
vstk	杂种
vsu	杂
vsuq	杂交
vtah	群臣 君臣
vtbb	君子
vtdc	群雄
vtdg	姡
vtdj	娇
vtdy	妖
vte	尹
vtee	九月
vtfg	九十 妊
vtgg	姓 君王 九五
vthg	臼
vthj	嬶
vthn	媳
vtia	九江
vtjg	建筑师
vtkb	郡
vtkd	群 君 羣
vtkh	帬
vtko	焄
vtlx	媲
vtma	九曲
vtmk	姠
vtmm	群山
vtn	九
vtnc	妖怪
vtnt	姊
vtnx	巡航导弹
vtog	建筑业 妖精
vtpy	姂
vtqa	姓氏
vtqk	姓名
vtqy	群岛
vtrh	九年
vtrt	娥
vtsc	君权
vttr	建筑物
vtuj	九间
vtvd	妊娠
vtvf	姊妹
vtvt	建筑群
vtvv	媳妇
vtwh	九个
vtws	群体
vtww	群众
vtyg	君主 郡主
vuah	姘
vujf	婵
vujh	嫜
vukg	婄
vumd	嫡
vupy	嫎
vuqy	姣
vusy	娴
vutd	嫉
vuth	馗
vuvo	嫌
vuvy	嫉妒
vuxn	嬨
vuxt	嫌疑 娣
vuyb	娴熟
vvaa	女工
vvbb	女子 嫂子
vvbw	女队
vvby	女孩
vvfb	娜
vvfg	女士 嫿
vvfh	女真
vvg	妇
vvgg	女王
vvhc	嫂
vvhl	嬧
vvkg	妱
vvnn	女尸
vvnt	女性
vvpy	女神
vvqt	女儿
vvrm	奴隶制
vvtg	女生
vvuj	女童
vvvb	刕
vvvf	姦
vvvn	女婿
vvvv	女 妇女
vvww	女人 妇人
vvyg	奴隶主
vvyv	女郎
vwfw	嬩
vwgu	嬁
vwi	臾
vwnt	群众性
vwnu	惥
vwtf	姙
vwve	嬝
vwyc	姈
vwyn	妗
vxgu	姆
vxuu	嫋
vxxn	妣
vybb	娘子
vydj	妨碍
vydm	忍耐
vyep	忍受
vyi	刃 丸 刄
vykh	建设路
vylg	嬗
vyly	妫
vyn	妨
vynt	妒
vynu	忍
vynw	姟
vyny	忍心
vype	娘家
vyps	婷
vysc	嬷
vyth	嫙
vyto	媯
vyvb	嫏
vyve	娘
vyvi	嫝
vyvy	娘娘
vyxy	妶
vyy	妏
wadc	代码
wadk	偌
wadw	供奉 僛 倛
waeg	借助
waeo	儰
waet	借用
waf	仝
waff	贷款 借款 垡
wafi	供求
wafu	侥幸
wafw	代替
wag	仜
wage	代表
wagf	仺
wagj	代理
waht	伢
waid	人工湖
wajg	借
wajt	借鉴
wajv	偃
wakg	代号
wakk	借口
walo	黛
walq	儚
walw	全世界
wamd	偀
wamj	岱
wamu	贷
wany	借以
waov	代数
waqj	僭
waqt	儆
waqy	伛
wat	伐
wate	備 俞莲舟
watq	侥
waud	供养 借着
wauf	伊斯兰教 伊斯兰
wawa	借贷
waww	代价
wawy	供
waxw	供给
way	代
waye	袋
wayi	供应
wayl	代为
wayt	代谢
wbat	戗
wbb	仓
wbbh	倻
wbet	他用
wbfj	创刊
wbg	仔
wbhh	公孙止
wbia	创汇
wbjh	创
wblw	创办
wbn	他
wbnh	伍子胥
wbog	创业
wbpe	他家
wbrm	创制
wbtf	创造
wbuj	创意
wbus	创新
wbut	人际关系
wbuu	创立
wbvf	创建
wbwg	他俩
wbwt	创作 创伤
wbwu	他们
wbww	他人
wbxl	仔细
wbyl	仓库
wcaa	公式
wcaw	公共
wcbb	公子
wcbh	伃
wcbi	公孙
wcbk	公职
wcde	公有
wcdm	公布 颂
wceh	俑
wcel	公爵
wcff	公款
wcfq	公元
wcga	公开
wcgh	公正
wcgj	公理
wcgk	公事
wcgn	瓮
wcgu	公平
wcjf	公里
wckh	公路
wclf	公园
wcna	公民
wcnf	翁
wcng	公司 鹟
wcpj	公寓
wcpv	公安
wcpy	公社
wcqb	兊
wcqd	公然
wcrb	公报
wcrh	侔
wcrn	颂扬
wcrt	公斤
wctc	公私
wctd	俟
wctf	公告
wctl	公务
wcu	公
wcud	公关
wcut	公道
wcuw	公益
wcwc	仅仅 公公
wcwg	公使
wcwt	俊
wcww	公众
wcwy	傩
wcxd	公顷
wcxq	公约
wcy	仅
wcyg	公主
wcyw	公认
wcyy	公文
wdag	佐
wdah	优雅
wdbm	做出
wdcy	伖
wddn	做成
wdeg	侑
wdet	优胜
wdff	傉
wdfh	优越 做起
wdfn	侉
wdfq	余万元
wdg	估 仨
wdgb	华盛顿
wdgc	做到
wdgf	优于
wdgj	优惠
wdgk	做事
wdhk	优点
wdif	做法
wdit	优劣
wdjd	俳
wdjg	佰
wdjk	集成电路
wdjn	俺
wdkg	佑
wdkk	传感器
wdmc	段
wdmd	偄
wdna	优异
wdnn	优
wdpn	做官
wdqn	做饭
wdqq	偧
wdrf	优质
wdrm	公有制
wdrv	优势
wdsk	倚
wdss	做梦
wdte	优秀
wdtf	优先 俦
wdty	做
wdug	优美
wdui	僚
wdvb	做好
wdwg	人大代表
wdwh	俸
wdwi	傣
wdwj	偆
wdwu	俺们
wdww	做人 估价
wdwx	优化 拿破仑
wdy	伏
wdyf	估计
wdyt	傣族
wdyv	优良
wdyy	仗
webg	俘
weeg	倗
weg	仴
weh	佣
weha	俘虏
wehh	信用卡
wehj	仍旧
wemf	偁
wen	仍
weqd	仍然
werm	傜
wesy	倸
wexd	傒
weyy	伋
wfal	儎
wfam	偾
wfan	传世
wfbg	侍卫
wfbm	付出 传出
wfcb	郐
wfcj	刽
wfcu	会
wfcy	伎 佉 伝
wfdd	伟大
wfdj	儒
wfdp	传达
wfds	传奇
wfeb	舒服
wffc	传动
wffg	佳 传教士
wffh	传真 会址
wffn	会场
wffq	僥
wfft	传教
wffy	侍
wfg	仁 仕
wfgc	传到
wfgd	祭天
wfgf	传球
wfgh	舉
wfgo	传来
wfgw	與
wfgy	值班
wfh	什 仠
wfhg	值
wfhh	会上
wfhk	会战
wfhq	会餐
wfil	畲
wfiu	祭 佘
wfiy	俅
wfj	仐
wfjg	会晤 会师
wfkb	舒
wfkf	舍 儓
wfkg	佶
wfkk	僖
wfkm	会员
wfkq	仁兄
wfkt	传呼
wfky	舖
wflw	舆 传输
wfmg	会同
wfmo	爨
wfmq	会见
wfmy	璺
wfnh	伟
wfny	传 俧
wfpe	儒家
wfpj	会审
wfpy	祭祀 祭祖
wfqb	學
